num,pday,pTempMax_Deg,pTempMin_Deg,pWind_kmh,pWet_percent,pVisibility_km,pCloudCoverage_percent,pDayduration_hour,pregion,pTempMax_Deg_1,pTempMin_Deg_1,pWind_kmh_1,pWet_percent_1,pVisibility_km_1,pCloudCoverage_percent_1,pDayduration_hour_1
481,2017-08-02,35,25,10,41,10,11,14:23:0,corse,35,25,10,41,10,11,14:23:0
482,2017-08-05,31,25,16,69,9.625,8,14:24:0,languedoc-roussillon,31,25,16,69,9.625,8,14:24:0
483,2017-08-05,32,27,13,52,10,1,14:16:0,corse,32,27,13,52,10,1,14:16:0
484,2017-08-07,27,22,18,55,10,10,14:19:0,languedoc-roussillon,27,22,18,55,10,10,14:19:0
485,2017-08-09,25,19,24,54,9.375,17,14:14:0,languedoc-roussillon,25,19,24,54,9.375,17,14:14:0
486,2017-08-09,25,19,24,54,9.375,17,14:14:0,languedoc-roussillon,25,19,24,54,9.375,17,14:14:0
487,2017-08-10,24,17,28,59,9.375,16,14:11:0,languedoc-roussillon,24,17,28,59,9.375,16,14:11:0
488,2017-08-10,25,20,36,50,10,24,14:10:0,provence-alpes-c-te-d-azur,25,20,36,50,10,24,14:10:0
489,2017-08-11,22,19,24,70,10,12,14:2:0,corse,22,19,24,70,10,12,14:2:0
490,2017-08-11,22,19,24,70,10,12,14:2:0,corse,22,19,24,70,10,12,14:2:0
491,2017-08-11,23,18,38,59,10,10,14:7:0,provence-alpes-c-te-d-azur,23,18,38,59,10,10,14:7:0
492,2017-08-12,27,18,19,63,10,4,14:7:0,languedoc-roussillon,27,18,19,63,10,4,14:7:0
493,2017-08-13,28,21,13,55,10,11,14:3:0,provence-alpes-c-te-d-azur,28,21,13,55,10,11,14:3:0
494,2017-08-15,30,18,8,54,10,1,13:52:0,corse,30,18,8,54,10,1,13:52:0
495,2017-08-15,25,21,15,83,10,11,13:59:0,languedoc-roussillon,25,21,15,83,10,11,13:59:0
496,2017-08-17,30,24,10,58,10,8,13:48:0,corse,30,24,10,58,10,8,13:48:0
497,2017-08-18,28,23,17,68,9.5,9,13:51:0,languedoc-roussillon,28,23,17,68,9.5,9,13:51:0
498,2017-08-19,27,23,34,66,10,10,13:47:0,provence-alpes-c-te-d-azur,27,23,34,66,10,10,13:47:0
499,2017-08-19,27,23,34,66,10,10,13:47:0,provence-alpes-c-te-d-azur,27,23,34,66,10,10,13:47:0
500,2017-08-20,28,18,9,54,10,8,13:39:0,corse,28,18,9,54,10,8,13:39:0
501,2017-08-20,27,18,18,50,10,0,13:45:0,languedoc-roussillon,27,18,18,50,10,0,13:45:0
502,2017-08-20,27,18,18,50,10,0,13:45:0,languedoc-roussillon,27,18,18,50,10,0,13:45:0
503,2017-08-21,27,21,11,64,10,4,13:36:0,corse,27,21,11,64,10,4,13:36:0
504,2017-08-21,30,19,21,55,10,1,13:43:0,languedoc-roussillon,30,19,21,55,10,1,13:43:0
505,2017-08-21,30,19,21,55,10,1,13:43:0,languedoc-roussillon,30,19,21,55,10,1,13:43:0
506,2017-08-22,26,22,17,62,10,1,13:40:0,languedoc-roussillon,26,22,17,62,10,1,13:40:0
507,2017-08-22,26,22,17,62,10,1,13:40:0,languedoc-roussillon,26,22,17,62,10,1,13:40:0
508,2017-08-27,27,22,14,73,10,15,13:26:0,languedoc-roussillon,27,22,14,73,10,15,13:26:0
509,2017-08-29,26,23,19,85,10,10,13:20:0,languedoc-roussillon,26,23,19,85,10,10,13:20:0
510,2017-09-01,25,18,34,66,10,3,13:11:0,provence-alpes-c-te-d-azur,25,18,34,66,10,3,13:11:0
511,2017-09-02,23,17,32,63,10,12,13:9:0,languedoc-roussillon,23,17,32,63,10,12,13:9:0
512,2017-09-02,21,14,29,61,9.875,8,13:5:0,corse,21,14,29,61,9.875,8,13:5:0
513,2017-09-02,21,14,29,61,9.875,8,13:5:0,corse,21,14,29,61,9.875,8,13:5:0
514,2017-09-02,21,14,29,61,9.875,8,13:5:0,corse,21,14,29,61,9.875,8,13:5:0
515,2017-09-02,23,18,46,58,10,4,13:8:0,provence-alpes-c-te-d-azur,23,18,46,58,10,4,13:8:0
516,2017-09-03,24,17,31,63,10,20,13:5:0,provence-alpes-c-te-d-azur,24,17,31,63,10,20,13:5:0
517,2017-09-06,16,12,11,98,7.75,68,13:0:0,rh-ne-alpes,16,12,11,98,7.75,68,13:0:0
518,2017-09-06,26,21,25,69,10,4,12:57:0,languedoc-roussillon,26,21,25,69,10,4,12:57:0
519,2017-09-06,26,21,25,69,10,4,12:57:0,languedoc-roussillon,26,21,25,69,10,4,12:57:0
520,2017-09-06,26,21,25,69,10,4,12:57:0,languedoc-roussillon,26,21,25,69,10,4,12:57:0
521,2017-09-06,26,21,25,69,10,4,12:57:0,languedoc-roussillon,26,21,25,69,10,4,12:57:0
522,2017-09-07,24,16,20,62,10,1,12:54:0,languedoc-roussillon,24,16,20,62,10,1,12:54:0
523,2017-09-11,22,18,31,71,10,22,12:43:0,languedoc-roussillon,22,18,31,71,10,22,12:43:0
524,2017-09-11,22,18,31,71,10,22,12:43:0,languedoc-roussillon,22,18,31,71,10,22,12:43:0
525,2017-09-12,22,17,35,65,10,11,12:40:0,languedoc-roussillon,22,17,35,65,10,11,12:40:0
526,2017-09-13,23,17,14,62,10,1,12:35:0,corse,23,17,14,62,10,1,12:35:0
527,2017-09-21,21,8,9,72,10,1,12:13:0,corse,21,8,9,72,10,1,12:13:0
528,2017-09-26,21,14,6,88,8.75,50,11:59:0,corse,21,14,6,88,8.75,50,11:59:0
529,2017-10-03,24,18,8,84,10,34,11:38:0,languedoc-roussillon,24,18,8,84,10,34,11:38:0
530,2017-10-06,18,15,24,55,10,1,11:28:0,languedoc-roussillon,18,15,24,55,10,1,11:28:0
531,2017-10-06,18,15,24,55,10,1,11:28:0,languedoc-roussillon,18,15,24,55,10,1,11:28:0
532,2017-10-07,22,12,21,60,10,10,11:26:0,languedoc-roussillon,22,12,21,60,10,10,11:26:0
533,2017-10-07,22,12,21,60,10,10,11:26:0,languedoc-roussillon,22,12,21,60,10,10,11:26:0
534,2017-10-08,22,15,37,44,10,5,11:23:0,provence-alpes-c-te-d-azur,22,15,37,44,10,5,11:23:0
535,2017-10-08,23,15,8,59,10,9,11:23:0,languedoc-roussillon,23,15,8,59,10,9,11:23:0
536,2017-10-10,23,16,10,65,10,5,11:16:0,languedoc-roussillon,23,16,10,65,10,5,11:16:0
537,2017-10-12,22,17,13,87,10,14,11:11:0,languedoc-roussillon,22,17,13,87,10,14,11:11:0
538,2017-10-13,21,17,10,70,10,18,11:8:0,languedoc-roussillon,21,17,10,70,10,18,11:8:0
539,2017-10-16,24,11,8,57,10,2,11:4:0,corse,24,11,8,57,10,2,11:4:0
540,2017-10-17,24,12,7,56,10,5,11:1:0,corse,24,12,7,56,10,5,11:1:0
541,2017-10-19,23,11,14,78,10,8,10:56:0,corse,23,11,14,78,10,8,10:56:0
542,2017-10-20,23,18,13,86,10,6,10:53:0,corse,23,18,13,86,10,6,10:53:0
543,2017-10-21,23,16,12,66,10,7,10:51:0,corse,23,16,12,66,10,7,10:51:0
544,2017-10-24,23,14,22,58,10,10,10:38:0,provence-alpes-c-te-d-azur,23,14,22,58,10,10,10:38:0
545,2017-10-25,23,13,8,46,10,9,10:40:0,corse,23,13,8,46,10,9,10:40:0
546,2017-10-26,22,9,10,56,10,13,10:37:0,corse,22,9,10,56,10,13,10:37:0
547,2017-11-06,13,10,49,55,10,15,10:2:0,languedoc-roussillon,13,10,49,55,10,15,10:2:0
548,2017-11-08,13,8,28,67,9.875,13,9:57:0,languedoc-roussillon,13,8,28,67,9.875,13,9:57:0
549,2017-12-03,9,3,27,55,10,11,9:8:0,languedoc-roussillon,9,3,27,55,10,11,9:8:0
550,2018-01-02,13,5,31,71,9.625,18,9:12:0,corse,13,5,31,71,9.625,18,9:12:0
551,2018-01-03,14,12,36,92,8.875,50,9:13:0,corse,14,12,36,92,8.875,50,9:13:0
552,2018-01-03,14,12,36,92,8.875,50,9:13:0,corse,14,12,36,92,8.875,50,9:13:0
553,2018-01-28,15,8,7,79,10,5,9:53:0,corse,15,8,7,79,10,5,9:53:0
554,2018-02-24,8,5,11,56,9.25,73,10:56:0,languedoc-roussillon,8,5,11,56,9.25,73,10:56:0
555,2018-02-25,11,6,18,60,9.875,22,11:0:0,languedoc-roussillon,11,6,18,60,9.875,22,11:0:0
556,2018-02-26,6,3,27,39,10,1,11:2:0,languedoc-roussillon,6,3,27,39,10,1,11:2:0
557,2018-04-27,21,16,13,78,10,3,13:58:0,provence-alpes-c-te-d-azur,21,16,13,78,10,3,13:58:0
558,2018-06-18,26,20,20,63,10,8,15:25:0,languedoc-roussillon,26,20,20,63,10,8,15:25:0
559,2018-07-10,30,24,14,64,10,9,15:13:0,languedoc-roussillon,30,24,14,64,10,9,15:13:0
560,2018-07-10,30,24,14,64,10,9,15:13:0,languedoc-roussillon,30,24,14,64,10,9,15:13:0
561,2018-07-11,29,23,14,60,10,5,15:12:0,languedoc-roussillon,29,23,14,60,10,5,15:12:0
562,2018-07-11,29,23,14,60,10,5,15:12:0,languedoc-roussillon,29,23,14,60,10,5,15:12:0
563,2018-08-04,33,28,12,66,10,19,14:27:0,languedoc-roussillon,33,28,12,66,10,19,14:27:0
564,2018-08-05,33,28,13,58,10,9,14:24:0,languedoc-roussillon,33,28,13,58,10,9,14:24:0
565,2018-09-01,24,14,16,72,10,4,13:8:0,corse,24,14,16,72,10,4,13:8:0
566,2018-09-01,24,14,16,72,10,4,13:8:0,corse,24,14,16,72,10,4,13:8:0
567,2018-09-14,27,21,14,71,10,22,12:35:0,languedoc-roussillon,27,21,14,71,10,22,12:35:0
568,2018-09-23,30,23,25,47,10,4,12:8:0,provence-alpes-c-te-d-azur,30,23,25,47,10,4,12:8:0
569,2018-09-23,30,22,19,61,10,8,12:8:0,languedoc-roussillon,30,22,19,61,10,8,12:8:0
570,2018-09-24,24,20,27,63,10,6,12:4:0,languedoc-roussillon,24,20,27,63,10,6,12:4:0
571,2018-09-24,24,20,27,63,10,6,12:4:0,languedoc-roussillon,24,20,27,63,10,6,12:4:0
572,2018-09-25,23,16,27,52,10,30,12:2:0,languedoc-roussillon,23,16,27,52,10,30,12:2:0
573,2018-09-26,22,18,16,56,10,11,11:59:0,languedoc-roussillon,22,18,16,56,10,11,11:59:0
574,2018-10-01,20,16,44,58,10,10,11:44:0,languedoc-roussillon,20,16,44,58,10,10,11:44:0
575,2018-10-02,22,14,33,50,10,19,11:41:0,languedoc-roussillon,22,14,33,50,10,19,11:41:0
576,2018-10-03,23,15,25,68,10,5,11:38:0,languedoc-roussillon,23,15,25,68,10,5,11:38:0
577,2018-10-03,23,15,25,68,10,5,11:38:0,languedoc-roussillon,23,15,25,68,10,5,11:38:0
578,2018-10-04,24,17,19,69,10,2,11:35:0,languedoc-roussillon,24,17,19,69,10,2,11:35:0
579,2018-10-24,24,16,28,48,10,1,10:37:0,languedoc-roussillon,24,16,28,48,10,1,10:37:0
580,2018-12-29,13,6,7,85,9.875,42,9:9:0,corse,13,6,7,85,9.875,42,9:9:0
581,2019-01-01,14,9,7,71,10,6,9:11:0,corse,14,9,7,71,10,6,9:11:0
582,2019-01-14,16,9,16,83,10,7,9:27:0,corse,16,9,16,83,10,7,9:27:0
583,2019-02-13,15,7,19,55,10,1,10:24:0,languedoc-roussillon,15,7,19,55,10,1,10:24:0
584,2019-02-16,15,8,11,56,10,0,10:33:0,languedoc-roussillon,15,8,11,56,10,0,10:33:0
585,2019-02-23,14,4,10,76,10,4,10:57:0,corse,14,4,10,76,10,4,10:57:0
586,2019-02-23,14,4,10,76,10,4,10:57:0,corse,14,4,10,76,10,4,10:57:0
587,2019-02-23,14,4,10,76,10,4,10:57:0,corse,14,4,10,76,10,4,10:57:0
588,2019-02-23,14,4,10,76,10,4,10:57:0,corse,14,4,10,76,10,4,10:57:0
589,2019-02-24,14,1,9,34,10,8,11:0:0,corse,14,1,9,34,10,8,11:0:0
590,2019-02-24,14,1,9,34,10,8,11:0:0,corse,14,1,9,34,10,8,11:0:0
591,2019-02-27,20,13,5,68,10,4,11:5:0,languedoc-roussillon,20,13,5,68,10,4,11:5:0
592,2019-02-27,20,13,5,68,10,4,11:5:0,languedoc-roussillon,20,13,5,68,10,4,11:5:0
593,2019-02-28,18,12,24,68,10,4,11:7:0,languedoc-roussillon,18,12,24,68,10,4,11:7:0
594,2019-03-06,13,11,45,88,8.25,63,11:26:0,languedoc-roussillon,13,11,45,88,8.25,63,11:26:0
595,2019-03-17,16,11,24,81,10,6,11:59:0,languedoc-roussillon,16,11,24,81,10,6,11:59:0
596,2019-03-21,18,8,12,56,10,1,12:11:0,languedoc-roussillon,18,8,12,56,10,1,12:11:0
597,2019-03-23,19,6,12,50,10,27,12:16:0,corse,19,6,12,50,10,27,12:16:0
598,2019-03-29,15,11,16,72,10,4,12:35:0,languedoc-roussillon,15,11,16,72,10,4,12:35:0
599,2019-03-29,15,11,16,72,10,4,12:35:0,languedoc-roussillon,15,11,16,72,10,4,12:35:0
600,2019-05-30,22,15,17,61,10,12,15:10:0,languedoc-roussillon,22,15,17,61,10,12,15:10:0
601,2019-06-05,21,18,27,78,10,9,15:17:0,languedoc-roussillon,21,18,27,78,10,9,15:17:0
602,2019-06-14,30,25,21,45,10,12,15:13:0,corse,30,25,21,45,10,12,15:13:0
603,2019-06-14,27,21,50,48,10,38,15:22:0,provence-alpes-c-te-d-azur,27,21,50,48,10,38,15:22:0
604,2019-06-25,32,26,9,58,10,0,15:13:0,corse,32,26,9,58,10,0,15:13:0
605,2019-06-28,37,27,6,65,10,,15:25:0,languedoc-roussillon,37,27,6,65,10,,15:25:0
606,2019-06-28,37,27,6,65,10,,15:25:0,languedoc-roussillon,37,27,6,65,10,,15:25:0
607,2019-06-29,29,25,15,68,10,0,15:24:0,languedoc-roussillon,29,25,15,68,10,0,15:24:0
608,2019-07-02,31,28,12,67,10,1,15:20:0,provence-alpes-c-te-d-azur,31,28,12,67,10,1,15:20:0
609,2019-07-05,27,25,17,77,10,1,15:20:0,languedoc-roussillon,27,25,17,77,10,1,15:20:0
610,2019-07-08,31,25,11,81,10,15,15:5:0,corse,31,25,11,81,10,15,15:5:0
611,2019-07-10,30,23,28,63,10,4,15:12:0,provence-alpes-c-te-d-azur,30,23,28,63,10,4,15:12:0
612,2019-07-15,27,21,31,56,10,6,15:7:0,languedoc-roussillon,27,21,31,56,10,6,15:7:0
613,2019-07-15,27,21,31,56,10,6,15:7:0,languedoc-roussillon,27,21,31,56,10,6,15:7:0
614,2019-07-15,27,21,31,56,10,6,15:7:0,languedoc-roussillon,27,21,31,56,10,6,15:7:0
615,2019-07-15,27,21,31,56,10,6,15:7:0,languedoc-roussillon,27,21,31,56,10,6,15:7:0
616,2019-07-16,27,24,15,63,10,8,15:5:0,languedoc-roussillon,27,24,15,63,10,8,15:5:0
617,2019-07-16,27,24,15,63,10,8,15:5:0,languedoc-roussillon,27,24,15,63,10,8,15:5:0
618,2019-07-16,27,24,15,63,10,8,15:5:0,languedoc-roussillon,27,24,15,63,10,8,15:5:0
619,2019-07-18,28,24,26,52,10,5,15:1:0,provence-alpes-c-te-d-azur,28,24,26,52,10,5,15:1:0
620,2019-07-18,29,23,23,60,10,13,15:3:0,languedoc-roussillon,29,23,23,60,10,13,15:3:0
621,2019-07-18,29,23,23,60,10,13,15:3:0,languedoc-roussillon,29,23,23,60,10,13,15:3:0
622,2019-07-21,27,22,17,77,10,8,14:57:0,languedoc-roussillon,27,22,17,77,10,8,14:57:0
623,2019-07-23,30,27,11,68,10,6,14:51:0,provence-alpes-c-te-d-azur,30,27,11,68,10,6,14:51:0
624,2019-07-26,27,23,17,84,10,12,14:47:0,languedoc-roussillon,27,23,17,84,10,12,14:47:0
625,2019-07-29,28,20,29,62,10,1,14:39:0,provence-alpes-c-te-d-azur,28,20,29,62,10,1,14:39:0
626,2019-07-30,29,22,20,59,10,13,14:39:0,languedoc-roussillon,29,22,20,59,10,13,14:39:0
627,2019-07-30,29,22,20,59,10,13,14:39:0,languedoc-roussillon,29,22,20,59,10,13,14:39:0
628,2019-07-31,27,21,18,55,10,20,14:37:0,languedoc-roussillon,27,21,18,55,10,20,14:37:0
629,2019-08-02,29,22,10,63,10,6,14:31:0,languedoc-roussillon,29,22,10,63,10,6,14:31:0
630,2019-08-02,29,22,10,63,10,6,14:31:0,languedoc-roussillon,29,22,10,63,10,6,14:31:0
631,2019-08-02,29,22,10,63,10,6,14:31:0,languedoc-roussillon,29,22,10,63,10,6,14:31:0
632,2019-08-02,29,22,10,63,10,6,14:31:0,languedoc-roussillon,29,22,10,63,10,6,14:31:0
633,2019-08-02,29,22,10,63,10,6,14:31:0,languedoc-roussillon,29,22,10,63,10,6,14:31:0
634,2019-08-03,28,23,17,60,10,4,14:29:0,languedoc-roussillon,28,23,17,60,10,4,14:29:0
635,2019-08-08,28,23,21,67,10,17,14:18:0,languedoc-roussillon,28,23,21,67,10,17,14:18:0
636,2019-08-08,28,23,21,67,10,17,14:18:0,languedoc-roussillon,28,23,21,67,10,17,14:18:0
637,2019-08-12,28,21,17,74,9.75,27,14:7:0,languedoc-roussillon,28,21,17,74,9.75,27,14:7:0
638,2019-08-14,26,19,15,62,10,5,13:56:0,corse,26,19,15,62,10,5,13:56:0
639,2019-08-14,27,20,19,48,10,18,14:2:0,languedoc-roussillon,27,20,19,48,10,18,14:2:0
640,2019-08-14,27,20,19,48,10,18,14:2:0,languedoc-roussillon,27,20,19,48,10,18,14:2:0
641,2019-08-14,27,20,19,48,10,18,14:2:0,languedoc-roussillon,27,20,19,48,10,18,14:2:0
642,2019-08-14,28,19,33,56,10,13,14:2:0,provence-alpes-c-te-d-azur,28,19,33,56,10,13,14:2:0
643,2019-08-26,26,21,17,72,10,5,13:30:0,languedoc-roussillon,26,21,17,72,10,5,13:30:0
644,2019-08-29,28,22,14,70,10,13,13:22:0,languedoc-roussillon,28,22,14,70,10,13,13:22:0
645,2019-08-31,27,23,15,79,9.875,10,13:17:0,languedoc-roussillon,27,23,15,79,9.875,10,13:17:0
646,2019-09-01,28,22,15,72,9.75,20,13:13:0,languedoc-roussillon,28,22,15,72,9.75,20,13:13:0
647,2019-09-04,26,21,15,49,10,2,13:5:0,languedoc-roussillon,26,21,15,49,10,2,13:5:0
648,2019-09-04,26,21,15,49,10,2,13:5:0,languedoc-roussillon,26,21,15,49,10,2,13:5:0
649,2019-09-05,26,20,27,60,10,5,13:2:0,languedoc-roussillon,26,20,27,60,10,5,13:2:0
650,2019-09-05,26,20,27,60,10,5,13:2:0,languedoc-roussillon,26,20,27,60,10,5,13:2:0
651,2019-09-05,25,22,53,56,10,1,13:1:0,provence-alpes-c-te-d-azur,25,22,53,56,10,1,13:1:0
652,2019-09-05,26,20,27,60,10,5,13:2:0,languedoc-roussillon,26,20,27,60,10,5,13:2:0
653,2019-09-06,24,17,28,55,10,4,12:59:0,languedoc-roussillon,24,17,28,55,10,4,12:59:0
654,2019-09-06,24,17,28,55,10,4,12:59:0,languedoc-roussillon,24,17,28,55,10,4,12:59:0
655,2019-09-06,24,17,28,55,10,4,12:59:0,languedoc-roussillon,24,17,28,55,10,4,12:59:0
656,2019-09-06,24,17,28,55,10,4,12:59:0,languedoc-roussillon,24,17,28,55,10,4,12:59:0
657,2019-09-07,25,17,21,47,10,22,12:56:0,languedoc-roussillon,25,17,21,47,10,22,12:56:0
658,2019-09-07,25,17,21,47,10,22,12:56:0,languedoc-roussillon,25,17,21,47,10,22,12:56:0
659,2019-09-08,24,17,16,60,10,6,12:53:0,languedoc-roussillon,24,17,16,60,10,6,12:53:0
660,2019-09-08,22,17,42,61,10,5,12:52:0,provence-alpes-c-te-d-azur,22,17,42,61,10,5,12:52:0
661,2019-09-08,24,17,16,60,10,6,12:53:0,languedoc-roussillon,24,17,16,60,10,6,12:53:0
662,2019-09-10,24,14,9,72,9.375,29,12:44:0,corse,24,14,9,72,9.375,29,12:44:0
663,2019-09-13,28,22,9,52,10,1,12:36:0,corse,28,22,9,52,10,1,12:36:0
664,2019-09-15,25,20,12,64,10,9,12:32:0,languedoc-roussillon,25,20,12,64,10,9,12:32:0
665,2019-09-15,25,20,12,64,10,9,12:32:0,languedoc-roussillon,25,20,12,64,10,9,12:32:0
666,2019-09-17,27,18,9,55,10,3,12:25:0,corse,27,18,9,55,10,3,12:25:0
667,2019-10-04,20,14,10,78,9.875,33,11:38:0,corse,20,14,10,78,9.875,33,11:38:0
668,2019-10-09,22,16,11,75,10,23,11:24:0,corse,22,16,11,75,10,23,11:24:0
669,2020-02-02,15,11,9,90,10,49,10:3:0,corse,15,11,9,90,10,49,10:3:0
670,2020-02-04,15,11,36,79,10,5,10:8:0,corse,15,11,36,79,10,5,10:8:0
671,2020-02-10,13,11,13,94,8.375,89,10:22:0,corse,13,11,13,94,8.375,89,10:22:0
672,2020-02-10,13,11,13,94,8.375,89,10:22:0,corse,13,11,13,94,8.375,89,10:22:0
673,2020-02-10,13,11,13,94,8.375,89,10:22:0,corse,13,11,13,94,8.375,89,10:22:0
674,2020-02-11,14,11,26,91,10,21,10:25:0,corse,14,11,26,91,10,21,10:25:0
675,2020-02-19,13,9,49,57,10,8,10:42:0,provence-alpes-c-te-d-azur,13,9,49,57,10,8,10:42:0
676,2020-02-23,18,12,6,61,10,0,10:52:0,languedoc-roussillon,18,12,6,61,10,0,10:52:0
677,2020-02-23,18,12,6,61,10,0,10:52:0,languedoc-roussillon,18,12,6,61,10,0,10:52:0
678,2020-02-24,18,12,8,63,10,1,10:55:0,languedoc-roussillon,18,12,8,63,10,1,10:55:0
679,2020-02-24,18,12,8,63,10,1,10:55:0,languedoc-roussillon,18,12,8,63,10,1,10:55:0
680,2020-02-26,11,9,59,74,9.875,51,11:5:0,corse,11,9,59,74,9.875,51,11:5:0
681,2020-03-18,15,11,12,79,10,15,12:4:0,languedoc-roussillon,15,11,12,79,10,15,12:4:0
682,2020-04-15,16,12,30,68,10,29,13:28:0,languedoc-roussillon,16,12,30,68,10,29,13:28:0
683,2020-06-05,19,16,34,85,8.625,70,15:6:0,corse,19,16,34,85,8.625,70,15:6:0
684,2020-07-04,29,19,14,59,10,5,15:20:0,languedoc-roussillon,29,19,14,59,10,5,15:20:0
685,2020-07-04,29,19,14,59,10,5,15:20:0,languedoc-roussillon,29,19,14,59,10,5,15:20:0
686,2020-07-05,29,21,10,67,10,10,15:18:0,languedoc-roussillon,29,21,10,67,10,10,15:18:0
687,2020-07-07,27,18,17,55,10,3,15:17:0,languedoc-roussillon,27,18,17,55,10,3,15:17:0
688,2020-07-07,27,18,17,55,10,3,15:17:0,languedoc-roussillon,27,18,17,55,10,3,15:17:0
689,2020-07-08,25,21,18,61,10,3,15:15:0,languedoc-roussillon,25,21,18,61,10,3,15:15:0
690,2020-07-10,30,22,14,69,10,7,15:13:0,languedoc-roussillon,30,22,14,69,10,7,15:13:0
691,2020-07-13,27,22,11,62,10,37,14:58:0,corse,27,22,11,62,10,37,14:58:0
692,2020-07-14,27,22,8,66,10,15,15:7:0,languedoc-roussillon,27,22,8,66,10,15,15:7:0
693,2020-07-17,28,20,24,64,10,16,15:3:0,languedoc-roussillon,28,20,24,64,10,16,15:3:0
694,2020-07-19,27,22,18,64,10,2,14:59:0,languedoc-roussillon,27,22,18,64,10,2,14:59:0
695,2020-07-21,28,20,7,60,10,24,15:6:0,rh-ne-alpes,28,20,7,60,10,24,15:6:0
696,2020-08-01,33,25,21,73,9.875,17,14:33:0,languedoc-roussillon,33,25,21,73,9.875,17,14:33:0
697,2020-08-03,27,23,48,56,10,11,14:27:0,provence-alpes-c-te-d-azur,27,23,48,56,10,11,14:27:0
698,2020-08-03,28,22,31,56,10,11,14:28:0,languedoc-roussillon,28,22,31,56,10,11,14:28:0
699,2020-08-03,27,22,21,77,10,9,14:20:0,corse,27,22,21,77,10,9,14:20:0
700,2020-08-04,26,20,58,56,10,2,14:24:0,provence-alpes-c-te-d-azur,26,20,58,56,10,2,14:24:0
701,2020-08-04,26,20,58,56,10,2,14:24:0,provence-alpes-c-te-d-azur,26,20,58,56,10,2,14:24:0
702,2020-08-04,26,20,58,56,10,2,14:24:0,provence-alpes-c-te-d-azur,26,20,58,56,10,2,14:24:0
703,2020-08-05,26,23,13,53,10,3,14:22:0,provence-alpes-c-te-d-azur,26,23,13,53,10,3,14:22:0
704,2020-08-13,32,26,10,45,10,5,13:56:0,corse,32,26,10,45,10,5,13:56:0
705,2020-08-13,32,26,10,45,10,5,13:56:0,corse,32,26,10,45,10,5,13:56:0
706,2020-08-14,30,22,16,71,9.875,19,14:0:0,languedoc-roussillon,30,22,16,71,9.875,19,14:0:0
707,2020-08-15,30,26,17,61,10,8,13:57:0,provence-alpes-c-te-d-azur,30,26,17,61,10,8,13:57:0
708,2020-08-19,27,23,17,66,10,6,13:48:0,languedoc-roussillon,27,23,17,66,10,6,13:48:0
709,2020-08-21,27,23,15,85,10,4,13:42:0,languedoc-roussillon,27,23,15,85,10,4,13:42:0
710,2020-08-23,28,23,42,54,10,7,13:36:0,provence-alpes-c-te-d-azur,28,23,42,54,10,7,13:36:0
711,2020-08-24,28,21,38,57,10,13,13:33:0,provence-alpes-c-te-d-azur,28,21,38,57,10,13,13:33:0
712,2020-08-26,25,17,9,57,10,8,13:33:0,rh-ne-alpes,25,17,9,57,10,8,13:33:0
713,2020-08-27,29,22,11,57,10,3,13:20:0,corse,29,22,11,57,10,3,13:20:0
714,2020-08-28,28,26,17,71,10,36,13:21:0,provence-alpes-c-te-d-azur,28,26,17,71,10,36,13:21:0
715,2020-09-04,24,19,14,57,10,3,13:2:0,languedoc-roussillon,24,19,14,57,10,3,13:2:0
716,2020-09-06,26,18,10,57,10,2,12:53:0,corse,26,18,10,57,10,2,12:53:0
717,2020-09-07,25,17,23,56,10,11,12:54:0,languedoc-roussillon,25,17,23,56,10,11,12:54:0
718,2020-09-17,28,23,12,61,10,9,12:24:0,languedoc-roussillon,28,23,12,61,10,9,12:24:0
719,2020-11-07,18,14,39,85,9.5,73,9:59:0,languedoc-roussillon,18,14,39,85,9.5,73,9:59:0
